,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.053656975428263344,0.0005759398142496744,0.7835851367905268,0.7835851604369038,10.0,"(7,)",2,"{'km__n_clusters': 2, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",2,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.00512253479466926,2.301723909711129e-05,0.0001637273001562729,8.189707575609604e-05
1,0.21051557858784994,0.0007220109303792318,0.7127398938342181,0.6845719189390391,10.0,"(7,)",5,"{'km__n_clusters': 5, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",161,0.7215422276621787,0.7178308823529411,0.7052696078431373,0.6791181873851806,0.7113970588235294,0.6567666870789957,0.03871901120683724,0.000142232397384901,0.006711413461081951,0.02522586472927869
2,0.22887110710144043,0.0007649262746175131,0.7486729277256022,0.7620369578225249,10.0,"(7,)",10,"{'km__n_clusters': 10, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",142,0.6787025703794369,0.7190563725490197,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.01527692520292858,6.972329312412249e-05,0.04950682137058614,0.03039186330626216
3,0.2957892417907715,0.0008308092753092448,0.7566353613719886,0.7395872732130205,10.0,"(7,)",15,"{'km__n_clusters': 15, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",113,0.7564259485924113,0.7380514705882353,0.7714460784313726,0.7786282914880588,0.7420343137254902,0.7020820575627679,0.011698984190842393,3.562494486970936e-05,0.012005765274055289,0.031268733044508036
4,0.31583738327026367,0.0008912881215413412,0.7490812576561862,0.7421357499929958,10.0,"(7,)",20,"{'km__n_clusters': 20, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",132,0.7233782129742962,0.7230392156862745,0.7401960784313726,0.7198407838334354,0.7837009803921569,0.7835272504592774,0.031784432077299474,6.843356218808108e-05,0.025417421923298083,0.02929732325335039
5,0.3926550547281901,0.0009503364562988281,0.6518987341772152,0.656101097562928,10.0,"(7,)",25,"{'km__n_clusters': 25, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",173,0.7209302325581395,0.7392769607843137,0.5128676470588235,0.4810165339865279,0.7218137254901961,0.7480097979179424,0.03832743682311123,3.8432503057852076e-05,0.09828038088504887,0.12385480454455394
6,0.43680906295776367,0.0010322729746500652,0.6915067374438546,0.7007885888076398,10.0,"(7,)",30,"{'km__n_clusters': 30, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",169,0.6585067319461444,0.663296568627451,0.7107843137254902,0.7036129822412738,0.7052696078431373,0.7354562155541947,0.032822166098379124,5.497442800645724e-05,0.023457068334861216,0.029526672234315467
7,0.47287265459696454,0.0011567274729410808,0.76827276439363,0.7719430035741587,10.0,"(7,)",35,"{'km__n_clusters': 35, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",109,0.737454100367197,0.7487745098039216,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.0038043997095483675,0.0001557626285771593,0.021805435225783414,0.01638259905481302
8,0.506954034169515,0.0012106895446777344,0.7209064924458963,0.7244699548527311,10.0,"(7,)",40,"{'km__n_clusters': 40, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",157,0.6744186046511628,0.6783088235294118,0.7837009803921569,0.7835272504592774,0.7046568627450981,0.711573790569504,0.030326738070167926,0.0001985796346040314,0.04607374115303499,0.0439125087062434
9,0.055452982584635414,0.0006527105967203776,0.21641486320947326,0.21641483956309612,10.0,"(15,)",2,"{'km__n_clusters': 2, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,)}",177,0.21664626682986537,0.21629901960784315,0.21629901960784315,0.2164727495407226,0.21629901960784315,0.2164727495407226,0.005909103012244103,2.937508689651698e-05,0.00016372730015629905,8.189707575609604e-05
10,0.18183628718058267,0.0006779829661051432,0.7439771335238873,0.7459125311688259,10.0,"(15,)",5,"{'km__n_clusters': 5, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,)}",151,0.7337821297429621,0.7254901960784313,0.7714460784313726,0.769748928352725,0.7267156862745098,0.7424984690753215,0.008624018568387187,1.851939323153973e-05,0.019630704794516448,0.018229110613075798
11,0.22972965240478516,0.0009853839874267578,0.7782768476929359,0.7749099831298104,10.0,"(15,)",10,"{'km__n_clusters': 10, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,)}",80,0.7833537331701347,0.7840073529411765,0.7732843137254902,0.7780159216166564,0.7781862745098039,0.7627066748315983,0.007127587932006142,0.00038872831454452733,0.004111740634995626,0.008969015642570822
12,0.2827943166097005,0.0009334087371826172,0.6949775418538179,0.6976309941204487,10.0,"(15,)",15,"{'km__n_clusters': 15, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,)}",166,0.6854345165238678,0.6942401960784313,0.6825980392156863,0.6711573790569504,0.7169117647058824,0.7274954072259645,0.012828937541261548,6.626692756909524e-05,0.015548278508436042,0.02312453946228939
