,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07537837028503418,0.0007078170776367188,0.7835851367905268,0.7835851334078645,10.0,"(7,)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.005712451730337623,1.9427471755615518e-05,0.00010824013408538259,2.705588709761459e-05
1,0.22279634475708007,0.0010297775268554687,0.21641486320947326,0.21641486659213544,10.0,"(7,)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.05978325841773151,2.299690254491746e-05,0.00010824013408542338,2.70558870975874e-05
2,0.3632060050964355,0.0015665531158447266,0.7835851367905268,0.7835851334078645,10.0,"(7,)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.028468097134639988,0.00016907966533434332,0.00010824013408538259,2.705588709761459e-05
3,0.6205671787261963,0.0019543647766113283,0.21641486320947326,0.21641486659213544,10.0,"(7,)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.08618191843432985,6.228420603294368e-05,0.00010824013408542338,2.70558870975874e-05
4,0.05771636962890625,0.0007239341735839844,0.21641486320947326,0.21641486659213544,10.0,"(15,)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.005099603684460377,1.3357910223565316e-05,0.00010824013408542338,2.70558870975874e-05
5,0.21932082176208495,0.0011030197143554687,0.7835851367905268,0.7835851334078645,10.0,"(15,)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.05778185300966252,7.012207782207886e-05,0.00010824013408538259,2.705588709761459e-05
6,0.36540932655334474,0.001548004150390625,0.7835851367905268,0.7835851334078645,10.0,"(15,)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.028266474426910927,6.817510795115987e-05,0.00010824013408538259,2.705588709761459e-05
7,0.6716820240020752,0.0019789218902587892,0.7831768068599428,0.7842485679574944,10.0,"(15,)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0}",64,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7824310520939735,0.7866802755805052,0.7824310520939735,0.7838734371013013,0.09612018327353418,3.694961879567778e-05,0.0006085954708953824,0.0012217823965295887
8,0.0709223747253418,0.0008283615112304688,0.7835851367905268,0.7835851334078645,10.0,"(31,)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.003918329494267295,5.7531465290570445e-05,0.00010824013408538259,2.705588709761459e-05
9,0.23769917488098144,0.0011770248413085938,0.7835851367905268,0.7835851334078645,10.0,"(31,)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.061698890000566185,5.7352311491159535e-05,0.00010824013408538259,2.705588709761459e-05
10,0.3734869956970215,0.0018285751342773438,0.7835851367905268,0.7835851334078645,10.0,"(31,)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.025876037895149015,0.00022038578816567433,0.00010824013408538259,2.705588709761459e-05
11,0.6481070041656494,0.002178049087524414,0.7835851367905268,0.7835851334078645,10.0,"(31,)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (31,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.0927723462960574,9.721101746708996e-05,0.00010824013408538259,2.705588709761459e-05
12,0.06670222282409669,0.0009070396423339844,0.7835851367905268,0.7835851334078645,10.0,"(62,)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (62,), 'NN__alpha': 10.0}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.00524481695315865,2.6999933023233096e-05,0.00010824013408538259,2.705588709761459e-05
13,0.24859442710876464,0.0013623714447021484,0.7797060024499796,0.7758771191148578,10.0,"(62,)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (62,), 'NN__alpha': 10.0}",68,0.7642857142857142,0.7450229709035222,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.057501573188648875,0.00012885287055198759,0.007712744730280096,0.015427093876660287
