,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.04584064483642578,0.0003989696502685547,0.7815434871376072,0.7810841438048507,10.0,"(7,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 1}",176,0.7887755102040817,0.7827973455844819,0.7877551020408163,0.7822868810617662,0.7918367346938775,0.7787136294027565,0.7701736465781409,0.7790252615463128,0.7691521961184883,0.782597601428936,0.004305774205579245,3.0437603108884503e-05,0.009793485389935155,0.0018182698321131767
1,0.0570742130279541,0.0003948211669921875,0.7835851367905268,0.7835851334078645,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 2}",129,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.004680257825298354,8.727552994596064e-06,0.00010824013408538259,2.705588709761459e-05
2,0.0792017936706543,0.00039157867431640627,0.782360146998775,0.7812878867511206,10.0,"(7,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 3}",165,0.7826530612244897,0.7743746809596733,0.7744897959183673,0.7769270035732516,0.7938775510204081,0.7848392036753445,0.7885597548518897,0.7854044399081398,0.7722165474974464,0.7848941056391937,0.021393252620329803,1.355140666899495e-05,0.00819755450497803,0.004677015990254047
3,0.1430579662322998,0.00041599273681640624,0.7809309922417313,0.7848613207654076,10.0,"(7,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 4}",186,0.7887755102040817,0.7850944359367024,0.7908163265306123,0.7917304747320061,0.786734693877551,0.7807554874936192,0.7732379979570991,0.779790762949732,0.7650663942798774,0.7869354427149783,0.01758300733715564,7.440148106849292e-05,0.010036884539840751,0.00433843345412713
4,0.13283061981201172,0.0004772186279296875,0.7862392813393222,0.7811851816538607,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 5}",95,0.7938775510204081,0.7822868810617662,0.7520408163265306,0.7498723838693211,0.8295918367346938,0.7914752424706483,0.7895812053115424,0.7833631028323552,0.7660878447395302,0.798928298035213,0.025278061144848145,7.925323338725396e-05,0.026554036736478076,0.016775886968360174
5,0.11052303314208985,0.00043997764587402346,0.7813393221723153,0.780573405749219,10.0,"(7,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 6}",181,0.7846938775510204,0.7733537519142419,0.7846938775510204,0.7802450229709035,0.7989795918367347,0.7822868810617662,0.7814096016343207,0.7836182699668283,0.7568947906026557,0.7833631028323552,0.008284886060042665,6.829942875173903e-05,0.013645479278418974,0.0038005484423182423
6,0.02459859848022461,0.0004243373870849609,0.21641486320947326,0.21641486659213544,10.0,"(7,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 7}",217,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.0006622980096429949,1.5230002667979371e-05,0.00010824013408542338,2.70558870975874e-05
7,0.08199162483215332,0.0004307746887207031,0.7856267864434463,0.7896074945934918,10.0,"(7,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 8}",101,0.789795918367347,0.7886676875957122,0.7765306122448979,0.7830525778458397,0.8030612244897959,0.7871362940275651,0.7711950970377937,0.7882112783873437,0.7875383043922369,0.8009696351109977,0.01334852277722331,3.0182850478009385e-05,0.011099949820651924,0.006016721031136846
8,0.0546353816986084,0.00042281150817871096,0.7815434871376072,0.7829219723911505,10.0,"(7,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 9}",176,0.7836734693877551,0.7843287391526289,0.7846938775510204,0.7884124553343542,0.7836734693877551,0.7833078101071975,0.7752808988764045,0.7757080887981628,0.780388151174668,0.782852768563409,0.010958336671360066,1.7397434920212023e-05,0.003450690931683603,0.004106535573372947
9,0.07806835174560547,0.0004223823547363281,0.778072682727644,0.782104278302288,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 10}",199,0.7836734693877551,0.7833078101071975,0.7846938775510204,0.7817764165390505,0.7602040816326531,0.7682491066870852,0.7732379979570991,0.7782597601428936,0.7885597548518897,0.798928298035213,0.025765256107620326,8.549359140191816e-06,0.010275487358915777,0.00991311981648267
10,0.08153934478759765,0.0004307746887207031,0.7784810126582279,0.7778691421135054,10.0,"(7,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'pca__n_components': 11}",198,0.7826530612244897,0.7822868810617662,0.7836734693877551,0.7805002552322614,0.7836734693877551,0.7830525778458397,0.7599591419816139,0.7588670579229395,0.7824310520939735,0.7846389385047206,0.018412497329251355,3.3498412768285857e-05,0.009271474044782213,0.00959392022495262
