,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0602475643157959,0.0008267879486083985,0.7835851367905268,0.7835851334078645,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 2}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.002579630921603207,0.00011887689024249931,0.00010824013408538259,2.705588709761459e-05
1,0.1046053409576416,0.0011898040771484374,0.21641486320947326,0.21641486659213544,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 5}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.02934661050893853,0.0002510232489024863,0.00010824013408542338,2.70558870975874e-05
2,0.13613476753234863,0.0013526439666748046,0.7835851367905268,0.7835851334078645,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 10}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.02016433383390285,0.00016293258458268894,0.00010824013408538259,2.705588709761459e-05
3,0.2816924571990967,0.0017999649047851563,0.21641486320947326,0.21641486659213544,10.0,"(7,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 15}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.03788728570551743,0.00011975635884425864,0.00010824013408542338,2.70558870975874e-05
4,0.03513035774230957,0.0007958412170410156,0.21641486320947326,0.21641486659213544,10.0,"(15,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 2}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.002277335976513564,5.490112616129215e-05,0.00010824013408542338,2.70558870975874e-05
5,0.09633259773254395,0.0010721683502197266,0.7835851367905268,0.7835851334078645,10.0,"(15,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 5}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.023168682569602497,5.033264104357079e-05,0.00010824013408538259,2.705588709761459e-05
6,0.13761358261108397,0.001526021957397461,0.7835851367905268,0.7835851334078645,10.0,"(15,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 10}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.01813505334967631,0.0001398795606398846,0.00010824013408538259,2.705588709761459e-05
7,0.3484138011932373,0.0017839908599853516,0.7835851367905268,0.7835340999809699,10.0,"(15,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 15}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7833631028323552,0.7834525025536262,0.7836182699668283,0.04690644777476157,3.725944652308626e-05,0.00010824013408538259,8.813353136143596e-05
8,0.05112757682800293,0.0008722305297851563,0.7835851367905268,0.7835851334078645,10.0,"(31,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 2}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.005112216940985308,8.649944338257833e-05,0.00010824013408538259,2.705588709761459e-05
9,0.11410560607910156,0.001190042495727539,0.7835851367905268,0.7835851334078645,10.0,"(31,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 5}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.022045147087171188,0.00018362655354120289,0.00010824013408538259,2.705588709761459e-05
10,0.1440575122833252,0.0016392230987548827,0.7835851367905268,0.7835851334078645,10.0,"(31,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 10}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.013992064006121152,0.00016717081109202299,0.00010824013408538259,2.705588709761459e-05
11,0.30529322624206545,0.0019454002380371095,0.7835851367905268,0.7835851334078645,10.0,"(31,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 15}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.040072068049811664,0.00011869142581880058,0.00010824013408538259,2.705588709761459e-05
12,0.04280786514282227,0.0009036064147949219,0.7835851367905268,0.7835851334078645,10.0,"(62,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'gmm__n_components': 2}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.0027292088872288667,1.3357399564297843e-05,0.00010824013408538259,2.705588709761459e-05
13,0.11978044509887695,0.0012819766998291016,0.7827684769293589,0.7817474611260881,10.0,"(62,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'gmm__n_components': 5}",61,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7795918367346939,0.7743746809596733,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.020996888287731233,7.494402756835438e-05,0.001591795458089066,0.0036864728214232095
14,0.14549245834350585,0.0016649723052978515,0.7835851367905268,0.7835851334078645,10.0,"(62,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'gmm__n_components': 10}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.01787813520030973,4.506063208753944e-05,0.00010824013408538259,2.705588709761459e-05
15,0.3201021671295166,0.0020096302032470703,0.7703144140465497,0.7842485679574944,10.0,"(62,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'gmm__n_components': 15}",68,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7170582226762002,0.7869354427149783,0.042784584470661316,3.775303808325762e-05,0.026618039337768424,0.0013436076450149116
16,0.052328968048095705,0.001115274429321289,0.7835851367905268,0.7835851334078645,10.0,"(124,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (124,), 'gmm__n_components': 2}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.0031022285644041678,6.413759345109877e-05,0.00010824013408538259,2.705588709761459e-05
17,0.1129805564880371,0.0016108036041259765,0.7835851367905268,0.7835851334078645,10.0,"(124,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (124,), 'gmm__n_components': 5}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.01835083357511982,0.0002376382168495807,0.00010824013408538259,2.705588709761459e-05
18,0.17078423500061035,0.0019487380981445313,0.7835851367905268,0.7835851334078645,10.0,"(124,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (124,), 'gmm__n_components': 10}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.01663537653698292,6.675934788116497e-05,0.00010824013408538259,2.705588709761459e-05
19,0.3191689968109131,0.002318000793457031,0.7835851367905268,0.7835851334078645,10.0,"(124,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (124,), 'gmm__n_components': 15}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.03489914676415301,2.5614012679477388e-05,0.00010824013408538259,2.705588709761459e-05
20,0.05068836212158203,0.0007031917572021485,0.7835851367905268,0.7835851334078645,0.01,"(7,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 2}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.002291658926653044,1.1946269757907656e-05,0.00010824013408538259,2.705588709761459e-05
21,0.09223995208740235,0.0009850502014160157,0.21641486320947326,0.21641486659213544,0.01,"(7,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 5}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.019331264316479628,8.278634657800198e-05,0.00010824013408542338,2.70558870975874e-05
22,0.13293099403381348,0.0012745380401611329,0.7835851367905268,0.7835851334078645,0.01,"(7,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 10}",4,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.018615560752597467,4.8214438480018966e-05,0.00010824013408538259,2.705588709761459e-05
23,0.27670979499816895,0.0017197608947753906,0.21641486320947326,0.21641486659213544,0.01,"(7,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 15}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.038451210518001176,5.0869474347897025e-05,0.00010824013408542338,2.70558870975874e-05
24,0.03340802192687988,0.0007178783416748047,0.21641486320947326,0.21641486659213544,0.01,"(15,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 2}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.0023498165459403036,2.7433681227955868e-06,0.00010824013408542338,2.70558870975874e-05
