,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.6407204151153565,0.10747156143188477,0.5523076923076923,0.5464423076923077,10.0,"(7,)",50,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 50}",236,0.5307692307692308,0.520673076923077,0.5,0.5014423076923077,0.6134615384615385,0.6408653846153847,0.5211538461538462,0.5158653846153847,0.5961538461538461,0.5533653846153846,0.01862329899707775,0.0011170389201795002,0.04434600373581906,0.05017498964423229
11,0.6423081874847412,0.10455379486083985,0.5226923076923077,0.5340384615384616,10.0,"(7,)",55,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 55}",253,0.49423076923076925,0.5120192307692307,0.49615384615384617,0.5057692307692307,0.5884615384615385,0.5956730769230769,0.5288461538461539,0.5533653846153846,0.5057692307692307,0.5033653846153846,0.030429683116781993,0.001102345038637885,0.03511182474162217,0.03576923076923078
12,0.662474250793457,0.10775513648986816,0.5757692307692308,0.6025,10.0,"(7,)",60,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 60}",219,0.4807692307692308,0.5067307692307692,0.6192307692307693,0.6475961538461539,0.6307692307692307,0.6620192307692307,0.5769230769230769,0.6442307692307693,0.5711538461538461,0.551923076923077,0.03155759403593917,0.0011828109097635434,0.05284229075567875,0.06172103326051471
13,0.6286220073699951,0.10531401634216309,0.6211538461538462,0.6204807692307692,10.0,"(15,)",2,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 2}",153,0.6403846153846153,0.6322115384615384,0.6384615384615384,0.6288461538461538,0.6134615384615385,0.6149038461538462,0.6096153846153847,0.6110576923076924,0.6038461538461538,0.6153846153846154,0.014264856914335306,0.0016547894396072048,0.01523970212012224,0.008407827784115038
14,0.6602251529693604,0.10658407211303711,0.5623076923076923,0.57125,10.0,"(15,)",5,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 5}",226,0.6096153846153847,0.6216346153846154,0.6057692307692307,0.5908653846153846,0.6038461538461538,0.6211538461538462,0.5692307692307692,0.6201923076923077,0.4230769230769231,0.40240384615384617,0.021518296372409852,0.0010835312822371783,0.07111329405755282,0.0852269203865767
15,0.6735493659973144,0.10556082725524903,0.5992307692307692,0.5900961538461538,10.0,"(15,)",10,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 10}",197,0.48653846153846153,0.47644230769230766,0.6519230769230769,0.61875,0.6269230769230769,0.6269230769230769,0.573076923076923,0.5966346153846154,0.6576923076923077,0.6317307692307692,0.05486313286305544,0.0014985274563307136,0.06378820354299534,0.058087269837372835
16,0.6641644477844239,0.10504074096679687,0.6253846153846154,0.6336538461538461,10.0,"(15,)",15,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 15}",138,0.6134615384615385,0.6461538461538462,0.5846153846153846,0.5697115384615384,0.6538461538461539,0.6721153846153847,0.6384615384615384,0.6278846153846154,0.6365384615384615,0.6524038461538462,0.0458819333991407,0.001229471767156089,0.024123695047025703,0.034954270633256825
17,0.6821013450622558,0.10570859909057617,0.6373076923076924,0.6517307692307693,10.0,"(15,)",20,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 20}",120,0.6423076923076924,0.6413461538461539,0.6288461538461538,0.6490384615384616,0.65,0.6735576923076924,0.5480769230769231,0.5850961538461539,0.7173076923076923,0.7096153846153846,0.04594646632207712,0.0016082186672728863,0.05407369505629719,0.04094460646796557
18,0.6440633773803711,0.10546579360961914,0.6115384615384616,0.620576923076923,10.0,"(15,)",25,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 25}",171,0.6384615384615384,0.6216346153846154,0.6653846153846154,0.6894230769230769,0.5557692307692308,0.5711538461538461,0.6346153846153846,0.6509615384615385,0.5634615384615385,0.5697115384615384,0.019538433007780392,0.001642614229292877,0.04376848721823475,0.04624730121663843
19,0.6513701915740967,0.10476789474487305,0.5869230769230769,0.6125,10.0,"(15,)",30,"{'NN__hidden_layer_sizes': (15,), 'NN__alpha': 10.0, 'filter__n': 30}",212,0.5615384615384615,0.5769230769230769,0.6653846153846154,0.6908653846153846,0.5596153846153846,0.575,0.5461538461538461,0.5942307692307692,0.6019230769230769,0.6254807692307692,0.0360158128180258,0.0015023540101846882,0.04343600339041961,0.0431633319479865
