,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.041490364074707034,0.001967620849609375,0.5046153846153846,0.5093269230769231,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 2}",122,0.5038461538461538,0.5125,0.49038461538461536,0.5149038461538461,0.5403846153846154,0.5019230769230769,0.4673076923076923,0.5192307692307693,0.5211538461538462,0.4980769230769231,0.002942881103252381,0.0006747423951455597,0.025091548354307828,0.008007947236021927
1,0.05795297622680664,0.001703023910522461,0.5003846153846154,0.5041346153846153,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 5}",158,0.5173076923076924,0.5014423076923077,0.475,0.5072115384615384,0.5230769230769231,0.5009615384615385,0.5019230769230769,0.5048076923076923,0.4846153846153846,0.50625,0.008370927250695456,0.00010681833517969866,0.01842143079204317,0.002518423241097836
2,0.04697060585021973,0.0017040252685546875,0.5153846153846153,0.5203846153846154,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 10}",58,0.5019230769230769,0.520673076923077,0.5442307692307692,0.5110576923076923,0.5288461538461539,0.5144230769230769,0.5230769230769231,0.5201923076923077,0.47884615384615387,0.5355769230769231,0.014564877813420554,5.69654584244284e-05,0.022754153011921588,0.008407827784115076
3,0.04740076065063477,0.0014587879180908204,0.48538461538461536,0.48961538461538456,10.0,"(7,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 15}",244,0.47115384615384615,0.49375,0.4846153846153846,0.48701923076923076,0.49230769230769234,0.48990384615384613,0.5057692307692307,0.48701923076923076,0.47307692307692306,0.49038461538461536,0.010940855256588486,0.00022379144909519957,0.012790991652550687,0.0025000000000000096
4,0.034967565536499025,0.0014231681823730468,0.4773076923076923,0.4767307692307693,10.0,"(7,)",20,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 20}",253,0.47307692307692306,0.47644230769230766,0.475,0.47644230769230766,0.46923076923076923,0.47836538461538464,0.46153846153846156,0.48173076923076924,0.5076923076923077,0.4706730769230769,0.0039030977541736397,0.00012018173313389934,0.015876744185038674,0.0035926041715902777
5,0.034098339080810544,0.0012649059295654296,0.5142307692307693,0.5140384615384616,10.0,"(7,)",25,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 25}",65,0.5423076923076923,0.50625,0.4980769230769231,0.5177884615384616,0.5134615384615384,0.5129807692307692,0.525,0.5134615384615384,0.49230769230769234,0.5197115384615385,0.002585113824728935,2.1242332765909223e-05,0.018146347864746826,0.004655276321888569
6,0.03723044395446777,0.001621580123901367,0.49423076923076925,0.49884615384615394,10.0,"(7,)",30,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 30}",195,0.5019230769230769,0.4980769230769231,0.47884615384615387,0.5019230769230769,0.46153846153846156,0.50625,0.5192307692307693,0.49278846153846156,0.5096153846153846,0.4951923076923077,0.004961698664767906,0.00024290580954126282,0.021101333422069535,0.004794211870122256
7,0.03315134048461914,0.0014962196350097657,0.49923076923076926,0.49990384615384614,10.0,"(7,)",35,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 35}",174,0.5192307692307693,0.49375,0.5173076923076924,0.4951923076923077,0.47115384615384615,0.5072115384615384,0.48846153846153845,0.5028846153846154,0.5,0.5004807692307692,0.001666940186747458,0.00020061903291267166,0.018064643947411373,0.004953556489381236
8,0.035574817657470705,0.001487588882446289,0.48846153846153845,0.49326923076923074,10.0,"(7,)",40,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 40}",237,0.47884615384615387,0.4966346153846154,0.4596153846153846,0.5,0.5,0.49038461538461536,0.4846153846153846,0.49230769230769234,0.5192307692307693,0.48701923076923076,0.0038894290470375906,0.00010273164148300944,0.020095923811712525,0.004581203557527543
9,0.05824160575866699,0.0016204357147216798,0.4930769230769231,0.5076923076923077,10.0,"(7,)",45,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 45}",210,0.5192307692307693,0.5663461538461538,0.475,0.5091346153846154,0.5057692307692307,0.48653846153846153,0.49615384615384617,0.4826923076923077,0.46923076923076923,0.49375,0.02679932791386508,0.0004028609915188798,0.018708286933869722,0.030689500064373532
10,0.05216560363769531,0.0016288280487060547,0.5007692307692307,0.5195192307692309,10.0,"(7,)",50,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 50}",150,0.5230769230769231,0.5024038461538461,0.47115384615384615,0.5216346153846154,0.5,0.5177884615384616,0.49038461538461536,0.5259615384615385,0.5192307692307693,0.5298076923076923,0.01066531504628929,0.000184126110445273,0.019099552335284844,0.009463219050243925
11,0.040570545196533206,0.001518392562866211,0.5069230769230769,0.51,10.0,"(7,)",55,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 55}",102,0.49423076923076925,0.5100961538461538,0.47307692307692306,0.5235576923076923,0.5269230769230769,0.50625,0.5230769230769231,0.5014423076923077,0.5173076923076924,0.5086538461538461,0.004019875703352475,9.260450156824116e-05,0.020373727135613903,0.0073882202739609945
12,0.048247241973876955,0.001927804946899414,0.5103846153846154,0.5065384615384615,10.0,"(7,)",60,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'rp__n_components': 60}",84,0.5192307692307693,0.5129807692307692,0.5403846153846154,0.49615384615384617,0.5134615384615384,0.5043269230769231,0.48846153846153845,0.5091346153846154,0.49038461538461536,0.5100961538461538,0.009032409284369896,0.00043124775081367393,0.019330510574044713,0.00589290517155558
13,0.03907623291015625,0.001412200927734375,0.4796153846153846,0.4804807692307692,10.0,"(15,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 2}",249,0.4980769230769231,0.475,0.4807692307692308,0.48221153846153847,0.49423076923076925,0.47644230769230766,0.4423076923076923,0.4894230769230769,0.4826923076923077,0.4793269230769231,0.008968977052076154,0.00018209807367698745,0.019784340230171837,0.005111551484616161
14,0.04829883575439453,0.0013813972473144531,0.4926923076923077,0.4907692307692308,10.0,"(15,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 5}",211,0.48846153846153845,0.4894230769230769,0.49230769230769234,0.4875,0.48653846153846153,0.4947115384615385,0.49230769230769234,0.49375,0.5038461538461538,0.48846153846153845,0.007039081675614719,0.0001017019995281079,0.00600788436608204,0.0029069647034290495
15,0.04154500961303711,0.0014155387878417968,0.4876923076923077,0.49874999999999997,10.0,"(15,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 10}",238,0.4653846153846154,0.49759615384615385,0.48846153846153845,0.49951923076923077,0.5076923076923077,0.4966346153846154,0.47115384615384615,0.5043269230769231,0.5057692307692307,0.49567307692307694,0.006003970647724601,0.00016783722395705022,0.017311965284502913,0.0030648802789440713
16,0.04126734733581543,0.0015186309814453126,0.5011538461538462,0.5009615384615385,10.0,"(15,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 15}",149,0.48653846153846153,0.5014423076923077,0.5134615384615384,0.4980769230769231,0.4980769230769231,0.5048076923076923,0.5307692307692308,0.4932692307692308,0.47692307692307695,0.5072115384615384,0.012870056017233707,0.0002019255665226258,0.01917684748048908,0.004931108232676169
17,0.046410226821899415,0.0016373157501220702,0.5080769230769231,0.5115384615384615,10.0,"(15,)",20,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 20}",93,0.5211538461538462,0.5057692307692307,0.5153846153846153,0.5081730769230769,0.46923076923076923,0.51875,0.5211538461538462,0.5134615384615384,0.5134615384615384,0.5115384615384615,0.005197370639747965,8.736101809661948e-05,0.01966434312486803,0.0044791594995585255
18,0.044321966171264646,0.0017292022705078125,0.5084615384615384,0.5126923076923077,10.0,"(15,)",25,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 25}",90,0.5173076923076924,0.510576923076923,0.5038461538461538,0.5158653846153847,0.5134615384615384,0.5100961538461538,0.4980769230769231,0.5192307692307693,0.5096153846153846,0.5076923076923077,0.007388933858556176,0.0001521048051274253,0.0068370726287043035,0.00421982851105613
19,0.041159629821777344,0.001432180404663086,0.49961538461538463,0.5032692307692308,10.0,"(15,)",30,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 30}",172,0.5076923076923077,0.4980769230769231,0.475,0.5081730769230769,0.48653846153846153,0.5081730769230769,0.5153846153846153,0.5004807692307692,0.5134615384615384,0.5014423076923077,0.0011825394533116558,0.00012665884634613944,0.016015894472043844,0.004151352527869774
20,0.03484487533569336,0.001510477066040039,0.4746153846153846,0.4769230769230769,10.0,"(15,)",35,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 35}",254,0.47692307692307695,0.4716346153846154,0.4519230769230769,0.4855769230769231,0.4826923076923077,0.47692307692307695,0.47307692307692306,0.48028846153846155,0.48846153846153845,0.4701923076923077,0.002277908924375931,0.00013358681282066203,0.012486679292883019,0.005647759675226316
21,0.03759894371032715,0.0017819881439208984,0.5207692307692308,0.5217307692307692,10.0,"(15,)",40,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 40}",37,0.5269230769230769,0.5216346153846154,0.5576923076923077,0.5134615384615384,0.5230769230769231,0.5225961538461539,0.49038461538461536,0.5274038461538462,0.5057692307692307,0.5235576923076923,0.0014606796592633471,0.00016610069212305716,0.022604131161407883,0.004575145097450147
22,0.05548419952392578,0.0018013477325439452,0.5330769230769231,0.55,10.0,"(15,)",45,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 45}",5,0.551923076923077,0.5504807692307693,0.525,0.541826923076923,0.5288461538461539,0.5764423076923076,0.5230769230769231,0.5259615384615385,0.5365384615384615,0.5552884615384616,0.01409600039410621,0.00020926098515269294,0.01049090899768143,0.01656527343642924
23,0.05078897476196289,0.001686429977416992,0.4973076923076923,0.5134615384615385,10.0,"(15,)",50,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 50}",183,0.5269230769230769,0.5182692307692308,0.4807692307692308,0.5057692307692307,0.4807692307692308,0.5235576923076923,0.5076923076923077,0.5168269230769231,0.49038461538461536,0.5028846153846154,0.010597639844879866,0.00019161982277354482,0.017775723089678987,0.007841108860721221
24,0.05776324272155762,0.0021542072296142577,0.5196153846153846,0.5325961538461538,10.0,"(15,)",55,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 55}",42,0.5307692307692308,0.5254807692307693,0.5403846153846154,0.5254807692307693,0.525,0.5269230769230769,0.4846153846153846,0.5447115384615384,0.5173076923076924,0.5403846153846154,0.013245679979751067,0.0003063593429090082,0.0190530247330782,0.008256922861934008
25,0.05169796943664551,0.0018510818481445312,0.5261538461538462,0.5307692307692308,10.0,"(15,)",60,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'rp__n_components': 60}",21,0.5269230769230769,0.5264423076923077,0.5365384615384615,0.5201923076923077,0.5403846153846154,0.5283653846153846,0.5288461538461539,0.5278846153846154,0.4980769230769231,0.5509615384615385,0.006964604582842494,0.00020249455713667702,0.014876215081395154,0.010511159187055507
26,0.03804569244384766,0.0011582374572753906,0.5007692307692307,0.5003846153846154,10.0,"(31,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 2}",150,0.5019230769230769,0.5009615384615385,0.5,0.5009615384615385,0.5,0.5014423076923077,0.5076923076923077,0.4951923076923077,0.49423076923076925,0.5033653846153846,0.0019776239087655077,4.536373206611771e-05,0.004317296984739148,0.002743335118785972
27,0.03632822036743164,0.0013267993927001953,0.5015384615384615,0.5098076923076923,10.0,"(31,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 5}",145,0.5134615384615384,0.5115384615384615,0.48846153846153845,0.5115384615384615,0.49423076923076925,0.5163461538461539,0.5134615384615384,0.5134615384615384,0.4980769230769231,0.49615384615384617,0.00611567394658412,0.0001323525935396045,0.01020499935493967,0.007050116453778211
28,0.0443110466003418,0.0016669750213623047,0.5257692307692308,0.531826923076923,10.0,"(31,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 10}",22,0.5403846153846154,0.520673076923077,0.5230769230769231,0.5269230769230769,0.5230769230769231,0.5365384615384615,0.5076923076923077,0.5399038461538461,0.5346153846153846,0.5350961538461538,0.0035704370185945045,0.000320335689399351,0.011252876029482913,0.007022522937119288
29,0.053701591491699216,0.001421213150024414,0.5119230769230769,0.5211538461538461,10.0,"(31,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 15}",78,0.525,0.5163461538461539,0.48846153846153845,0.54375,0.5173076923076924,0.5144230769230769,0.5326923076923077,0.5100961538461538,0.49615384615384617,0.5211538461538462,0.015806351671207246,0.00016392230092880953,0.016914333405612332,0.0118429378751555
30,0.04059162139892578,0.0018568038940429688,0.49538461538461537,0.4998076923076923,10.0,"(31,)",20,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 20}",191,0.5288461538461539,0.49230769230769234,0.4461538461538462,0.5144230769230769,0.4653846153846154,0.5033653846153846,0.5115384615384615,0.49567307692307694,0.525,0.4932692307692308,0.0017552698125162082,6.594797534250396e-05,0.03341065981612922,0.008274819220750034
31,0.045998430252075194,0.0017421722412109375,0.5073076923076923,0.5138461538461538,10.0,"(31,)",25,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 25}",97,0.47115384615384615,0.5216346153846154,0.5173076923076924,0.5307692307692308,0.5192307692307693,0.5091346153846154,0.49615384615384617,0.5076923076923077,0.5326923076923077,0.5,0.008093559132764883,0.00012513677071650388,0.021531592311197556,0.010943811577065815
32,0.05053238868713379,0.0015993595123291015,0.4976923076923077,0.5208653846153847,10.0,"(31,)",30,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 30}",179,0.4673076923076923,0.5211538461538462,0.47692307692307695,0.5134615384615384,0.5230769230769231,0.5475961538461539,0.5153846153846153,0.5086538461538461,0.5057692307692307,0.5134615384615384,0.01089158148507803,0.00014510887276682555,0.021804673512397475,0.013952582420936232
33,0.04790782928466797,0.0018162250518798829,0.49346153846153845,0.49923076923076926,10.0,"(31,)",35,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 35}",203,0.525,0.49375,0.48846153846153845,0.5004807692307692,0.4846153846153846,0.4966346153846154,0.4846153846153846,0.5057692307692307,0.4846153846153846,0.49951923076923077,0.002973473097644676,0.00010272376191137293,0.015839430986133857,0.0040292936230301715
34,0.040339326858520506,0.0016054153442382813,0.4876923076923077,0.4990384615384616,10.0,"(31,)",40,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 40}",238,0.47884615384615387,0.4951923076923077,0.5057692307692307,0.48653846153846153,0.5307692307692308,0.5129807692307692,0.41923076923076924,0.510576923076923,0.5038461538461538,0.48990384615384613,0.007656273094709931,5.33129959290519e-05,0.037969935163644414,0.010788958578979463
35,0.06824045181274414,0.0017895698547363281,0.4938461538461538,0.5146153846153847,10.0,"(31,)",45,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 45}",196,0.5115384615384615,0.5240384615384616,0.49230769230769234,0.5173076923076924,0.5038461538461538,0.5528846153846154,0.4846153846153846,0.4971153846153846,0.47692307692307695,0.48173076923076924,0.0175308074039785,0.00020637173967180965,0.012545774177153895,0.02428260633486862
36,0.0488828182220459,0.001968193054199219,0.4973076923076923,0.5041346153846153,10.0,"(31,)",50,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 50}",183,0.4826923076923077,0.5028846153846154,0.49615384615384617,0.5153846153846153,0.4980769230769231,0.5004807692307692,0.5057692307692307,0.49567307692307694,0.5038461538461538,0.50625,0.006639214358708334,0.0001574118400450124,0.008122581569978022,0.006596181879285552
37,0.058861589431762694,0.0017479896545410157,0.49115384615384616,0.5243269230769231,10.0,"(31,)",55,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 55}",223,0.49038461538461536,0.5524038461538462,0.49423076923076925,0.49951923076923077,0.5115384615384615,0.5538461538461539,0.48846153846153845,0.5038461538461538,0.47115384615384615,0.5120192307692307,0.018246219893402044,8.253066347405771e-05,0.012906124411971158,0.02385817004940886
38,0.050607824325561525,0.0017535686492919922,0.5034615384615385,0.5102884615384615,10.0,"(31,)",60,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'rp__n_components': 60}",129,0.47884615384615387,0.5125,0.475,0.5264423076923077,0.5211538461538462,0.5076923076923077,0.5192307692307693,0.5043269230769231,0.5230769230769231,0.5004807692307692,0.004960933219544268,0.00011442750613778001,0.02173672484760739,0.008992312627490923
39,0.04073257446289062,0.001320219039916992,0.48653846153846153,0.4915384615384615,10.0,"(62,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 2}",240,0.47884615384615387,0.4951923076923077,0.475,0.4908653846153846,0.48653846153846153,0.49567307692307694,0.48846153846153845,0.4879807692307692,0.5038461538461538,0.4879807692307692,0.002300250270243478,7.573047822944378e-05,0.009955522388880601,0.0033529991873389934
40,0.04199514389038086,0.0014611244201660155,0.4919230769230769,0.49894230769230774,10.0,"(62,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 5}",219,0.4846153846153846,0.49951923076923077,0.5038461538461538,0.49567307692307694,0.475,0.5028846153846154,0.5076923076923077,0.49903846153846154,0.48846153846153845,0.49759615384615385,0.0027705076323178003,0.0001598312063167148,0.01218690732134989,0.002382598402569966
41,0.05331940650939941,0.0016068458557128907,0.49,0.49961538461538463,10.0,"(62,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 10}",233,0.5076923076923077,0.49615384615384617,0.5096153846153846,0.4971153846153846,0.5038461538461538,0.4966346153846154,0.47884615384615387,0.5009615384615385,0.45,0.5072115384615384,0.007712046462023902,0.00018075824349531155,0.022864406073387442,0.004162473234983324
42,0.07175240516662598,0.0020164012908935546,0.5269230769230769,0.546826923076923,10.0,"(62,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 15}",16,0.5269230769230769,0.5504807692307693,0.5384615384615384,0.5158653846153847,0.5076923076923077,0.5605769230769231,0.5230769230769231,0.5552884615384616,0.5384615384615384,0.551923076923077,0.010673388576539404,0.00029356879975362006,0.011409536133993323,0.015865675988000403
43,0.04743361473083496,0.0018154144287109374,0.5111538461538462,0.5126923076923077,10.0,"(62,)",20,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 20}",82,0.47692307692307695,0.5149038461538461,0.5038461538461538,0.5081730769230769,0.5288461538461539,0.5120192307692307,0.5326923076923077,0.5134615384615384,0.5134615384615384,0.5149038461538461,0.0029084365164267966,0.00024356978333165818,0.020036948119432463,0.002499999999999991
44,0.07923722267150879,0.001669025421142578,0.5092307692307693,0.5450961538461538,10.0,"(62,)",25,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 25}",86,0.46923076923076923,0.5274038461538462,0.5230769230769231,0.5302884615384615,0.5192307692307693,0.5692307692307692,0.5442307692307692,0.5216346153846154,0.49038461538461536,0.5769230769230769,0.016084747057421415,7.273393980452337e-05,0.026351066358400982,0.023143733416406756
45,0.06205596923828125,0.0017676353454589844,0.5019230769230769,0.515,10.0,"(62,)",30,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 30}",139,0.5038461538461538,0.4947115384615385,0.5134615384615384,0.5081730769230769,0.5057692307692307,0.5235576923076923,0.49423076923076925,0.5211538461538462,0.49230769230769234,0.5274038461538462,0.011317456702587592,0.00030196008123589284,0.007787867973583275,0.012026536241349677
46,0.07092466354370117,0.0017710208892822265,0.5173076923076924,0.5398076923076924,10.0,"(62,)",35,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 35}",45,0.5230769230769231,0.5288461538461539,0.5019230769230769,0.55,0.5230769230769231,0.5216346153846154,0.5384615384615384,0.5475961538461539,0.5,0.5509615384615385,0.0062190346090426835,5.5163773827340436e-05,0.014493418216474438,0.012160325682729858
47,0.06848440170288086,0.0019363880157470704,0.5246153846153846,0.5536538461538462,10.0,"(62,)",40,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (62,), 'rp__n_components': 40}",27,0.5211538461538462,0.5408653846153846,0.5057692307692307,0.5201923076923077,0.5442307692307692,0.5822115384615385,0.5288461538461539,0.5591346153846154,0.5230769230769231,0.5658653846153846,0.017247646658352808,0.00024676916787930685,0.012427303401079616,0.021344421274108776
