,0,1,2,3,4,5,6,7,8,9
2,0.08155436617928244,0.07373521095950193,0.0689325021889316,0.05848939854731275,0.07105577772180413,0.0778455474767158,0.08129942932035916,0.06077478271401083,0.05999887978186499,0.09744233636137481
5,0.1235400004847101,0.1199350576871832,0.12761250244683903,0.11610791023087338,0.10907762616398513,0.10062425946950844,0.1332327782382775,0.12760375746088376,0.1191364520402353,0.11584279447198333
10,0.17561837172400416,0.17516613669478007,0.16381079516692798,0.16598278990922416,0.1668406762900414,0.16353847831521687,0.16552913298131589,0.16853001837077303,0.16662897936571658,0.17481981806830493
15,0.21561119289154937,0.2134786255228647,0.2125238780326785,0.21969694625298788,0.2019774803260521,0.2058680579805831,0.20700945375999924,0.19143508259755027,0.20974571950656987,0.19703518427953418
20,0.2523702657960858,0.24073646602025678,0.25190661606725023,0.24261606807028185,0.24214539537333227,0.24731016499410488,0.2346177167967231,0.2326465264526057,0.23674571002365996,0.23352749165155487
25,0.28233301287490603,0.24231885883507756,0.27248745625000204,0.2677556765867093,0.25255667154114775,0.27550835619895503,0.2623200810107696,0.2566923021733685,0.27625668303816314,0.2588894514325955
30,0.28912927254346554,0.28124540491899147,0.27615144171368744,0.2920930592669027,0.2836642167179181,0.2809408271213651,0.29411138372428314,0.28320686832159736,0.2871961391765209,0.2919328894635667
35,0.30088045373909383,0.31437470975643605,0.3112813087557952,0.317815127302052,0.31182693176592163,0.28876396762768763,0.299469159173263,0.29406859238738364,0.30182531142579433,0.3060349241377793
40,0.32490314869282594,0.3237604987580611,0.33055898551617363,0.3439352357967508,0.31608997714158765,0.32882340082405204,0.3200967961426999,0.323068881155726,0.348549948422969,0.31664584511616556
45,0.34927998106404406,0.33877804558214664,0.3533055563415554,0.33270328336447785,0.34786002370760977,0.34832569069752356,0.34629987318488215,0.32853567442224924,0.3376628412708513,0.3470373616211058
50,0.36267472203586654,0.36315988674619193,0.35161668229810383,0.34809217382086177,0.3533582457837642,0.3636523448350644,0.3597440921372651,0.35449125412147603,0.3667300767406362,0.3640828661088944
55,0.37591016877382466,0.3745319294312431,0.38428717935323325,0.36833076179814717,0.364872382225725,0.37601941670959194,0.3677868329760543,0.3713276184103454,0.37251247264955134,0.3799612705904986
60,0.38714653312679415,0.3669340961402531,0.38189129141781103,0.38308445253523005,0.3800725886749394,0.39704374187695635,0.3952241472005685,0.38342591282659466,0.37597375756680307,0.39469542088003684
