,0,1,2,3,4,5,6,7,8,9
2,0.9960880357740652,0.9960604710983263,0.9961016933755199,0.9959528208444085,0.9960183971980576,0.9958686506840007,0.9960213589964646,0.9961034693848788,0.9959607136110976,0.9960046087839585
5,0.9902412186178644,0.9901479654746955,0.9899765901794344,0.9900286755817249,0.9902034717074801,0.9903060490991159,0.9899502613705312,0.9897705162246001,0.9895060623006582,0.9901605024929886
10,0.9799791616544864,0.9799753627402518,0.9802604411292536,0.9800198889705595,0.9799764658800919,0.9798706917648953,0.9797519270855389,0.9799401617435737,0.9801262164649281,0.9800339793142071
15,0.9694570683998974,0.9698927064810672,0.969426831526101,0.9703180777315561,0.9697904765969431,0.969765970171306,0.9699070774461452,0.9700039897799515,0.9699953243105486,0.9700581099012279
20,0.9596988654766875,0.9602168480648047,0.9597147509286483,0.9603784514090075,0.960566009439969,0.960289308606682,0.959601653881606,0.9599760359631259,0.9597079424991323,0.9601695440190148
25,0.9501654368163054,0.9496312549571433,0.9498991255905914,0.9506720543235722,0.949694674699774,0.9500502040366072,0.9498417960803779,0.9501848574768553,0.9494466833924913,0.9509450362183303
30,0.9396560367071747,0.9400390117140145,0.9401619646538083,0.9397734366904558,0.9394345391240123,0.9402107563947619,0.9393520166949824,0.9395939860012584,0.9401832826172066,0.9394265587829644
35,0.9299796123010773,0.9296046681139711,0.9296990568149626,0.9304536512284413,0.9301018032084579,0.9302897056187533,0.9299993750500297,0.9301648105377501,0.9303915531877539,0.9294503507092282
40,0.9204519020275858,0.9202069768426718,0.9204106734108197,0.9195195066289953,0.9202341682490042,0.9193814406325115,0.9207826075847746,0.9206954950396943,0.9192941302966364,0.9205221819975037
45,0.909791479693265,0.9102489938752455,0.9097643432361076,0.9097613596174983,0.9093439079866119,0.9094896028897136,0.9105763801491957,0.9095651774040495,0.9102475971946405,0.9104261539989102
50,0.8997170300969202,0.9000799076477223,0.8998704602389308,0.900085009957143,0.9006146680401713,0.9001560198404456,0.8999996471699775,0.8993672468779055,0.9001714115844068,0.9005974692603418
55,0.8906184941215326,0.8894939735144521,0.8895238929729542,0.8895751629461939,0.8902074388212576,0.8897997751814651,0.8898422366484228,0.8898313507831962,0.8903028717296051,0.8907577231394723
60,0.8796316779967606,0.8801867779007699,0.8808175037653118,0.8799007880815941,0.8794928727518002,0.8793635352579422,0.8794014275984041,0.8798421649928633,0.8807446117823983,0.8795650748935874
