,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,0.11073722839355468,0.0011079788208007812,0.5988461538461538,0.5906730769230769,10.0,"(15,)",5,"{'NN__alpha': 10.0, 'pca__n_components': 5, 'NN__hidden_layer_sizes': (15,)}",76,0.6307692307692307,0.6524038461538462,0.6557692307692308,0.6173076923076923,0.4634615384615385,0.45384615384615384,0.6807692307692308,0.68125,0.5634615384615385,0.5485576923076924,0.0355196733472052,1.7815723631057634e-05,0.07816875993378555,0.08151022279517058
15,0.0963752269744873,0.0013938426971435546,0.5642307692307692,0.5628846153846153,10.0,"(15,)",10,"{'NN__alpha': 10.0, 'pca__n_components': 10, 'NN__hidden_layer_sizes': (15,)}",139,0.5173076923076924,0.5375,0.6288461538461538,0.635576923076923,0.5461538461538461,0.5158653846153847,0.5711538461538461,0.5798076923076924,0.5576923076923077,0.5456730769230769,0.01757372379139374,0.0004941682144438839,0.036862931783093016,0.04176598124489728
16,0.082358980178833,0.001493978500366211,0.5592307692307692,0.5575000000000001,10.0,"(15,)",15,"{'NN__alpha': 10.0, 'pca__n_components': 15, 'NN__hidden_layer_sizes': (15,)}",151,0.573076923076923,0.5783653846153847,0.5288461538461539,0.5158653846153847,0.5480769230769231,0.5822115384615385,0.5903846153846154,0.583173076923077,0.5557692307692308,0.5278846153846154,0.01174945015134556,0.00029084461126729097,0.021080291701607256,0.029379052030738706
17,0.12339301109313965,0.0012675762176513673,0.553076923076923,0.5595192307692308,10.0,"(15,)",20,"{'NN__alpha': 10.0, 'pca__n_components': 20, 'NN__hidden_layer_sizes': (15,)}",160,0.65,0.6711538461538461,0.5230769230769231,0.5067307692307692,0.4480769230769231,0.49278846153846156,0.5038461538461538,0.49759615384615385,0.6403846153846153,0.6293269230769231,0.047320437468616076,2.7939402419963937e-05,0.07920275830472649,0.07537836021929045
18,0.09919376373291015,0.0019559860229492188,0.5453846153846154,0.5404807692307692,10.0,"(15,)",25,"{'NN__alpha': 10.0, 'pca__n_components': 25, 'NN__hidden_layer_sizes': (15,)}",178,0.5326923076923077,0.5423076923076923,0.5365384615384615,0.5158653846153847,0.55,0.5192307692307693,0.5384615384615384,0.5701923076923077,0.5692307692307692,0.5548076923076923,0.016892137593391806,0.0005523518919194506,0.013245519505940436,0.0207309119447064
19,0.1308134078979492,0.00313720703125,0.5976923076923077,0.5979807692307693,10.0,"(15,)",30,"{'NN__alpha': 10.0, 'pca__n_components': 30, 'NN__hidden_layer_sizes': (15,)}",78,0.6307692307692307,0.6331730769230769,0.625,0.6110576923076924,0.6346153846153846,0.6519230769230769,0.5480769230769231,0.5490384615384616,0.55,0.5447115384615384,0.02571516239106777,0.0009225668899563542,0.03984808430132124,0.04370866601953325
20,0.11087875366210938,0.002913045883178711,0.495,0.5274038461538462,10.0,"(15,)",35,"{'NN__alpha': 10.0, 'pca__n_components': 35, 'NN__hidden_layer_sizes': (15,)}",260,0.475,0.48125,0.45,0.4932692307692308,0.5346153846153846,0.5524038461538462,0.5576923076923077,0.6216346153846154,0.4576923076923077,0.48846153846153845,0.026547371847069814,0.000532113380760176,0.043166116451071386,0.05350942100317172
21,0.1393425941467285,0.0025376319885253907,0.5423076923076923,0.5747115384615384,10.0,"(15,)",40,"{'NN__alpha': 10.0, 'pca__n_components': 40, 'NN__hidden_layer_sizes': (15,)}",187,0.5211538461538462,0.520673076923077,0.6096153846153847,0.6610576923076923,0.4807692307692308,0.5235576923076923,0.5038461538461538,0.5389423076923077,0.5961538461538461,0.6293269230769231,0.03548996487443175,6.356323381856802e-05,0.05127083210610173,0.05874488521106784
22,0.12655038833618165,0.002636241912841797,0.5446153846153846,0.5646153846153846,10.0,"(15,)",45,"{'NN__alpha': 10.0, 'pca__n_components': 45, 'NN__hidden_layer_sizes': (15,)}",182,0.5826923076923077,0.5951923076923077,0.525,0.5865384615384616,0.5153846153846153,0.5293269230769231,0.6096153846153847,0.6254807692307692,0.49038461538461536,0.48653846153846153,0.023193723884634886,8.130967043556196e-05,0.044396012401563344,0.0499228324635475
23,0.09958419799804688,0.0025429725646972656,0.5303846153846153,0.531826923076923,10.0,"(15,)",50,"{'NN__alpha': 10.0, 'pca__n_components': 50, 'NN__hidden_layer_sizes': (15,)}",205,0.5134615384615384,0.51875,0.5961538461538461,0.5802884615384616,0.5076923076923077,0.5,0.5115384615384615,0.5004807692307692,0.5230769230769231,0.5596153846153846,0.027037208799619305,0.0002952286348163372,0.03327312115981873,0.03251848586691766
