,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03245558738708496,0.0006916046142578125,0.7835851367905268,0.7835851334078645,10.0,"(7,)",1,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 1}",1,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.0023136824659011073,0.00015963746067489015,0.00010824013408538259,2.705588709761459e-05
1,0.03626241683959961,0.0005933761596679688,0.21641486320947326,0.21641486659213544,10.0,"(7,)",2,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 2}",188,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.007729653273645523,8.316625128295708e-05,0.00010824013408542338,2.70558870975874e-05
2,0.04750056266784668,0.000613546371459961,0.7835851367905268,0.7835851334078645,10.0,"(7,)",3,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 3}",1,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.01515647600334828,7.311121958321645e-05,0.00010824013408538259,2.705588709761459e-05
3,0.04751253128051758,0.0008022785186767578,0.21641486320947326,0.21641486659213544,10.0,"(7,)",4,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 4}",188,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.01671533777916268,0.00041094942845712294,0.00010824013408542338,2.70558870975874e-05
4,0.047858572006225585,0.0006556510925292969,0.21641486320947326,0.21641486659213544,10.0,"(7,)",5,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 5}",188,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.011129380942208068,0.00021868986243828476,0.00010824013408542338,2.70558870975874e-05
5,0.06401715278625489,0.0005456447601318359,0.3297264189465088,0.3298621745788668,10.0,"(7,)",6,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 6}",187,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.7834525025536262,0.7836182699668283,0.21654749744637386,0.21638173003317174,0.024686201127851828,5.8519907020955034e-05,0.2267762093334496,0.2268780487022606
6,0.057138586044311525,0.0006170272827148438,0.21641486320947326,0.21641486659213544,10.0,"(7,)",7,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 7}",188,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.014270168526947114,6.494007426299531e-05,0.00010824013408542338,2.70558870975874e-05
7,0.06702370643615722,0.0006886482238769531,0.7835851367905268,0.7835851334078645,10.0,"(7,)",8,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 8}",1,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.013691072796407109,0.00010465131977250521,0.00010824013408538259,2.705588709761459e-05
8,0.09510617256164551,0.0006372928619384766,0.7835851367905268,0.7835851334078645,10.0,"(7,)",9,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 9}",1,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.02882421797703545,3.8022194876192484e-05,0.00010824013408538259,2.705588709761459e-05
9,0.05665159225463867,0.0006496429443359375,0.7835851367905268,0.7835851334078645,10.0,"(7,)",10,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'ica__n_components': 10}",1,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.005001308560319843,0.00011596944376158405,0.00010824013408538259,2.705588709761459e-05
