,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07977385520935058,0.0008105278015136719,0.7835851367905268,0.7835851334078645,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 2}",22,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.004482804987731638,7.541471738583075e-05,0.00010824013408538259,2.705588709761459e-05
1,0.2037044048309326,0.0010790348052978516,0.21641486320947326,0.21641486659213544,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 5}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.03603060743770538,1.2774786957621852e-05,0.00010824013408542338,2.70558870975874e-05
2,0.29270544052124026,0.0015436649322509766,0.7835851367905268,0.7835851334078645,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 10}",22,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.05128597402364861,6.18161952039994e-06,0.00010824013408538259,2.705588709761459e-05
3,0.5507781982421875,0.002124977111816406,0.21641486320947326,0.21641486659213544,10.0,"(7,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,), 'gmm__n_components': 15}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.045931186040250954,9.934091695137226e-05,0.00010824013408542338,2.70558870975874e-05
4,0.061928844451904295,0.0007735729217529297,0.21641486320947326,0.21641486659213544,10.0,"(15,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 2}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.004410239225868626,1.1024739087385883e-05,0.00010824013408542338,2.70558870975874e-05
5,0.2040783405303955,0.0010991096496582031,0.7835851367905268,0.7835851334078645,10.0,"(15,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 5}",22,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.03810763941056639,9.038548643822928e-06,0.00010824013408538259,2.705588709761459e-05
6,0.29402661323547363,0.0016309738159179688,0.7835851367905268,0.7835851334078645,10.0,"(15,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 10}",22,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.04950308704654563,5.802138395619297e-05,0.00010824013408538259,2.705588709761459e-05
7,0.5945213794708252,0.0021056175231933595,0.7854226214781543,0.7917515367665361,10.0,"(15,)",15,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (15,), 'gmm__n_components': 15}",11,0.7836734693877551,0.7835630423685553,0.7887755102040817,0.8042368555385401,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7875383043922369,0.8037764735902015,0.044048821008866416,9.562001159125279e-05,0.0022680556307205966,0.010007349302372275
8,0.07585997581481933,0.0008672237396240235,0.7835851367905268,0.7835851334078645,10.0,"(31,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 2}",22,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.005609080213034284,7.416659000842823e-05,0.00010824013408538259,2.705588709761459e-05
9,0.21699843406677247,0.0012053966522216797,0.7801143323805635,0.7819022416803987,10.0,"(31,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 5}",68,0.7836734693877551,0.7835630423685553,0.8010204081632653,0.8072996426748341,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7487231869254342,0.7514672110232202,0.036735762229998935,3.3650787113965136e-05,0.01707937201023129,0.01777515310373968
10,0.29968962669372556,0.0017664909362792968,0.7835851367905268,0.7835851334078645,10.0,"(31,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (31,), 'gmm__n_components': 10}",22,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.04963126208662458,3.643778530540355e-05,0.00010824013408538259,2.705588709761459e-05
