,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.43183245658874514,0.10504717826843261,0.7831768068599428,0.7831768008658229,10.0,"(7,)",1,"{'filter__n': 1, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",158,0.7836734693877551,0.7830525778458397,0.7836734693877551,0.7830525778458397,0.7826530612244897,0.7833078101071975,0.7824310520939735,0.7833631028323552,0.7834525025536262,0.7831079356978821,0.04460538660426808,0.0015480337893904435,0.0005291013841858864,0.00013227015748261127
1,0.48746504783630373,0.10678339004516602,0.7711310739077174,0.7935379541900099,10.0,"(7,)",2,"{'filter__n': 2, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",205,0.7846938775510204,0.7940275650842267,0.789795918367347,0.7963246554364471,0.7795918367346939,0.7858601327207759,0.7507660878447395,0.7912732840010207,0.7507660878447395,0.8002041337075785,0.019105307131162912,0.001107885006977971,0.01692994055017931,0.004827443331690347
2,0.4597141742706299,0.10513825416564941,0.7815434871376072,0.7824110910563723,10.0,"(7,)",3,"{'filter__n': 3, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",170,0.7836734693877551,0.7822868810617662,0.7785714285714286,0.7830525778458397,0.7785714285714286,0.7799897907095457,0.7834525025536262,0.7833631028323552,0.7834525025536262,0.7833631028323552,0.002513953707808689,0.0010463228907179596,0.0024288421213099175,0.0012729714558138636
3,0.4864213466644287,0.10610623359680176,0.671498570845243,0.6818265381895585,10.0,"(7,)",4,"{'filter__n': 4, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",215,0.7918367346938775,0.8006636038795304,0.786734693877551,0.8032159264931087,0.8030612244897959,0.7871362940275651,0.2247191011235955,0.21765756570553713,0.7507660878447395,0.8004593008420515,0.03891785012498174,0.0011776138420470355,0.22398968582180057,0.2321526841716926
4,0.5051686286926269,0.10592241287231445,0.7868517762351981,0.7992543492710543,10.0,"(7,)",5,"{'filter__n': 5, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",112,0.7918367346938775,0.7988769780500256,0.7877551020408163,0.8024502297090352,0.789795918367347,0.7876467585502808,0.7885597548518897,0.8045419749936208,0.7763023493360572,0.8027558050523093,0.012678691990330842,0.0020584493330609824,0.00544950361105822,0.006087879787304416
5,0.4735365867614746,0.10639657974243164,0.7866476112699061,0.7861370652601343,10.0,"(7,)",6,"{'filter__n': 6, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",117,0.7836734693877551,0.7830525778458397,0.7846938775510204,0.7835630423685553,0.7938775510204081,0.7891781521184278,0.7824310520939735,0.7838734371013013,0.7885597548518897,0.7910181168665475,0.017800742011382275,0.0004846382400090518,0.004156529178369822,0.003296560115057229
6,0.4035590171813965,0.10501775741577149,0.21641486320947326,0.21641486659213544,10.0,"(7,)",7,"{'filter__n': 7, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",216,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.002550182253619171,0.0016917948697034288,0.00010824013408542338,2.70558870975874e-05
7,0.4345829486846924,0.10613503456115722,0.7762351980400163,0.7810821248714233,10.0,"(7,)",8,"{'filter__n': 8, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",201,0.7397959183673469,0.7335375191424196,0.7591836734693878,0.7771822358346095,0.7857142857142857,0.7935171005615109,0.8018386108273748,0.7979076294973207,0.7946884576098059,0.8032661393212555,0.021170212117899587,0.002075362738918496,0.02325757405193802,0.025320171373296035
8,0.4433687686920166,0.10552635192871093,0.7774601878317681,0.7789908224496541,10.0,"(7,)",9,"{'filter__n': 9, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",192,0.7663265306122449,0.7623787646758551,0.7806122448979592,0.7812659520163349,0.7826530612244897,0.7815211842776927,0.7814096016343207,0.7815769328910437,0.7763023493360572,0.7882112783873437,0.02238710197954077,0.0009718842810871862,0.005964117527143661,0.008709123766716792
9,0.4514322280883789,0.10744600296020508,0.7774601878317681,0.7760814612284677,10.0,"(7,)",10,"{'filter__n': 10, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",192,0.7724489795918368,0.7741194486983155,0.7846938775510204,0.7771822358346095,0.7795918367346939,0.7649310872894334,0.7773237997957099,0.782852768563409,0.7732379979570991,0.7813217657565705,0.011463970025761735,0.000975735733954944,0.0044687903655336765,0.006367156845151247
10,0.4347433567047119,0.1058565616607666,0.7807268272764394,0.7851668700579277,10.0,"(7,)",11,"{'filter__n': 11, 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (7,)}",183,0.7622448979591837,0.7728432873915263,0.7846938775510204,0.7945380296069423,0.7989795918367347,0.7774374680959674,0.7885597548518897,0.785914774177086,0.7691521961184883,0.7951007910181168,0.019324038754654504,0.0004045065177141028,0.013311436903144765,0.008929447037000797
