,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.08819847106933594,0.0007385730743408204,0.7835851367905268,0.7835851334078645,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'gmm__n_components': 2, 'NN__hidden_layer_sizes': (7,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.0090682102121981,1.5440543826214365e-05,0.00010824013408538259,2.705588709761459e-05
1,0.14703359603881835,0.0011018276214599609,0.21641486320947326,0.21641486659213544,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'gmm__n_components': 5, 'NN__hidden_layer_sizes': (7,)}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.02669510452408455,5.817073280526724e-05,0.00010824013408542338,2.70558870975874e-05
2,0.319215202331543,0.0015685081481933594,0.7835851367905268,0.7835851334078645,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'gmm__n_components': 10, 'NN__hidden_layer_sizes': (7,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.039351586262056246,0.0001719493172960429,0.00010824013408538259,2.705588709761459e-05
3,0.5945470333099365,0.001964426040649414,0.21641486320947326,0.21641486659213544,10.0,"(7,)",15,"{'NN__alpha': 10.0, 'gmm__n_components': 15, 'NN__hidden_layer_sizes': (7,)}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.08398544433926147,4.593469141943409e-05,0.00010824013408542338,2.70558870975874e-05
4,0.06399245262145996,0.0007781028747558594,0.21641486320947326,0.21641486659213544,10.0,"(15,)",2,"{'NN__alpha': 10.0, 'gmm__n_components': 2, 'NN__hidden_layer_sizes': (15,)}",69,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.2163265306122449,0.2164369576314446,0.21654749744637386,0.21638173003317174,0.21654749744637386,0.21638173003317174,0.0059845038784143755,1.7460706356124662e-05,0.00010824013408542338,2.70558870975874e-05
5,0.14664463996887206,0.0011246204376220703,0.7835851367905268,0.7835851334078645,10.0,"(15,)",5,"{'NN__alpha': 10.0, 'gmm__n_components': 5, 'NN__hidden_layer_sizes': (15,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.025503654532306366,9.985737465971397e-05,0.00010824013408538259,2.705588709761459e-05
6,0.3180255889892578,0.001566600799560547,0.7835851367905268,0.7835851334078645,10.0,"(15,)",10,"{'NN__alpha': 10.0, 'gmm__n_components': 10, 'NN__hidden_layer_sizes': (15,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.03867865169312068,6.887902434444657e-05,0.00010824013408538259,2.705588709761459e-05
7,0.6329763889312744,0.00218348503112793,0.7860351163740302,0.7857290844032703,10.0,"(15,)",15,"{'NN__alpha': 10.0, 'gmm__n_components': 15, 'NN__hidden_layer_sizes': (15,)}",8,0.7928571428571428,0.7993874425727412,0.7836734693877551,0.7835630423685553,0.786734693877551,0.7784583971413986,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.09022959087802752,0.00034300237515678717,0.0036320773446995194,0.0071135990105126315
8,0.07594118118286133,0.0008475780487060547,0.7835851367905268,0.7835851334078645,10.0,"(31,)",2,"{'NN__alpha': 10.0, 'gmm__n_components': 2, 'NN__hidden_layer_sizes': (31,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.004636960253003388,2.2425038639382458e-05,0.00010824013408538259,2.705588709761459e-05
9,0.16187939643859864,0.0012112140655517578,0.7895059207839935,0.7769490946125608,10.0,"(31,)",5,"{'NN__alpha': 10.0, 'gmm__n_components': 5, 'NN__hidden_layer_sizes': (31,)}",1,0.7744897959183673,0.7677386421643696,0.7836734693877551,0.7833078101071975,0.8224489795918367,0.7664624808575804,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.027806503545103455,4.1473430952116556e-05,0.016843625354145964,0.008052211682515627
10,0.3285482883453369,0.0016830921173095702,0.7835851367905268,0.7835851334078645,10.0,"(31,)",10,"{'NN__alpha': 10.0, 'gmm__n_components': 10, 'NN__hidden_layer_sizes': (31,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.03722311699918048,3.223031206877272e-05,0.00010824013408538259,2.705588709761459e-05
11,0.6090781688690186,0.0021598339080810547,0.7835851367905268,0.7835851334078645,10.0,"(31,)",15,"{'NN__alpha': 10.0, 'gmm__n_components': 15, 'NN__hidden_layer_sizes': (31,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.08536621050714832,0.00010846017291632423,0.00010824013408538259,2.705588709761459e-05
12,0.07203927040100097,0.0009535789489746094,0.7835851367905268,0.7835851334078645,10.0,"(62,)",2,"{'NN__alpha': 10.0, 'gmm__n_components': 2, 'NN__hidden_layer_sizes': (62,)}",12,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7836734693877551,0.7835630423685553,0.7834525025536262,0.7836182699668283,0.7834525025536262,0.7836182699668283,0.004902033786456529,3.0925600981546815e-05,0.00010824013408538259,2.705588709761459e-05
