,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.09161893526713054,0.0007863839467366537,0.7833809718252348,0.7832789755012027,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (7,)}",49,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7830882352941176,0.782608695652174,0.0037209165905938983,0.00011785184684635001,0.0002508425155861336,0.0004792367747471775
1,0.20020135243733725,0.0007003148396809896,0.5869742752143732,0.5850723211819939,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (7,)}",73,0.7729498164014688,0.7693014705882353,0.21629901960784315,0.2164727495407226,0.7714460784313726,0.7694427434170239,0.02819798171790561,2.4139872957811683e-05,0.2620274406488774,0.2606392630311092
2,0.2577983538309733,0.0007383028666178385,0.7835851367905268,0.7835851604369038,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (7,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.01746888937785841,6.344901293504103e-06,0.0001637273001562729,8.189707575609604e-05
3,0.3383943239847819,0.0008130073547363281,0.7735810534912209,0.7712357013636236,10.0,"(7,)",15,"{'NN__alpha': 10.0, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (7,)}",69,0.7833537331701347,0.7837009803921569,0.78125,0.7792406613594611,0.7561274509803921,0.7507654623392529,0.009466157506076414,1.0717350498672984e-05,0.012367643817040789,0.014588731399142962
4,0.0813448429107666,0.0007790724436442057,0.21641486320947326,0.21641483956309612,10.0,"(15,)",2,"{'NN__alpha': 10.0, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (15,)}",77,0.21664626682986537,0.21629901960784315,0.21629901960784315,0.2164727495407226,0.21629901960784315,0.2164727495407226,0.004181133617899258,6.661067883207683e-05,0.00016372730015629905,8.189707575609604e-05
5,0.17232465744018555,0.0007519721984863281,0.7835851367905268,0.7835851604369038,10.0,"(15,)",5,"{'NN__alpha': 10.0, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (15,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.015258564355059918,2.370876676059393e-05,0.0001637273001562729,8.189707575609604e-05
6,0.2612716356913249,0.0008113384246826172,0.7888934258881176,0.7840954686630726,10.0,"(15,)",10,"{'NN__alpha': 10.0, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (15,)}",3,0.7833537331701347,0.7837009803921569,0.7996323529411765,0.7850581751377832,0.7837009803921569,0.7835272504592774,0.014151372532494261,2.1742763551560167e-05,0.007592566585282697,0.0006844210885763345
7,0.34297339121500653,0.0010086695353190105,0.7819518170681911,0.7837895964162355,10.0,"(15,)",15,"{'NN__alpha': 10.0, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (15,)}",58,0.7802937576499388,0.7852328431372549,0.7837009803921569,0.7835272504592774,0.7818627450980392,0.782608695652174,0.012352010433952369,0.00010038041961253192,0.0013925587670572876,0.0010872462329860081
8,0.09775654474894206,0.0008527437845865885,0.7833809718252348,0.7786831996525901,10.0,"(31,)",2,"{'NN__alpha': 10.0, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (31,)}",49,0.7827417380660955,0.7689950980392157,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.003173533678087623,9.91936543484576e-05,0.0004522834058313154,0.006850522347641404
9,0.16992982228597006,0.000843207041422526,0.7835851367905268,0.7835851604369038,10.0,"(31,)",5,"{'NN__alpha': 10.0, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (31,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.01627002990489573,1.6750873033003574e-05,0.0001637273001562729,8.189707575609604e-05
10,0.2661466598510742,0.00095367431640625,0.7835851367905268,0.7834830987916702,10.0,"(31,)",10,"{'NN__alpha': 10.0, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (31,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7832210655235763,0.7837009803921569,0.7835272504592774,0.01952819225870708,1.1000031406699406e-05,0.0001637273001562729,0.0001983962324668314
11,0.3239282766977946,0.0009946028391520183,0.782360146998775,0.7820532976918058,10.0,"(31,)",15,"{'NN__alpha': 10.0, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (31,)}",55,0.7796817625458996,0.7791053921568627,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.012643538566909005,4.887419338710084e-06,0.0018950639342064756,0.0020844839940556492
12,0.08873589833577473,0.0010390281677246094,0.7835851367905268,0.7835851604369038,10.0,"(62,)",2,"{'NN__alpha': 10.0, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (62,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.004810466802527808,5.9960574144357215e-05,0.0001637273001562729,8.189707575609604e-05
13,0.1829246679941813,0.0010770161946614583,0.7835851367905268,0.7835851604369038,10.0,"(62,)",5,"{'NN__alpha': 10.0, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (62,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.020876227315394926,1.413232147013234e-05,0.0001637273001562729,8.189707575609604e-05
14,0.2750140031178792,0.0011169115702311199,0.7854226214781543,0.7860353903757868,10.0,"(62,)",10,"{'NN__alpha': 10.0, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (62,)}",12,0.784577723378213,0.7873774509803921,0.7879901960784313,0.7872014696876913,0.7837009803921569,0.7835272504592774,0.01861503029444069,3.871021756935635e-05,0.0018499568401610207,0.0017749773208760686
15,0.37018760045369464,0.0011930465698242188,0.7893017558187015,0.7966515525377327,10.0,"(62,)",15,"{'NN__alpha': 10.0, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (62,)}",2,0.7888616891064871,0.7959558823529411,0.7892156862745098,0.7893447642375995,0.789828431372549,0.8046540110226577,0.017757743495127782,1.7341844809196288e-05,0.0003993727079590591,0.006269302302274664
16,0.09551405906677246,0.0013246536254882812,0.7835851367905268,0.7835851604369038,10.0,"(124,)",2,"{'NN__alpha': 10.0, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (124,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.0037169847115239396,2.430466639971668e-05,0.0001637273001562729,8.189707575609604e-05
17,0.18247199058532715,0.0013959407806396484,0.7835851367905268,0.7835851604369038,10.0,"(124,)",5,"{'NN__alpha': 10.0, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (124,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.015846900192238368,8.591894627723427e-06,0.0001637273001562729,8.189707575609604e-05
18,0.2981573740641276,0.0017112890879313152,0.7833809718252348,0.7867490714391492,10.0,"(124,)",10,"{'NN__alpha': 10.0, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (124,)}",49,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7830882352941176,0.7930189834660135,0.03235728743256885,0.00025728375737215373,0.0002508425155861336,0.004434064586874168
19,0.36028337478637695,0.0016026496887207031,0.7880767660269498,0.7870568823569437,10.0,"(124,)",15,"{'NN__alpha': 10.0, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (124,)}",7,0.7906976744186046,0.7916666666666666,0.789828431372549,0.7859767299448868,0.7837009803921569,0.7835272504592774,0.005470659859555654,3.137900096413072e-05,0.0031134937814341792,0.003409552363016955
20,0.08334541320800781,0.0007065931955973307,0.778072682727644,0.7803191877894248,0.01,"(7,)",2,"{'NN__alpha': 0.01, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (7,)}",63,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7671568627450981,0.7737293325168402,0.004465020022099865,6.66493536186221e-05,0.0077175890217628055,0.004660271087079465
21,0.2010816733042399,0.0007143020629882812,0.5869742752143732,0.5870115549792074,0.01,"(7,)",5,"{'NN__alpha': 0.01, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (7,)}",73,0.7723378212974297,0.7696078431372549,0.21629901960784315,0.2164727495407226,0.7720588235294118,0.7749540722596449,0.03709362904536755,5.478683952500527e-05,0.2620267461173017,0.2620195925158928
22,0.25330336888631183,0.0007599989573160807,0.7835851367905268,0.7835851604369038,0.01,"(7,)",10,"{'NN__alpha': 0.01, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (7,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.01919531619930188,3.554294265579955e-05,0.0001637273001562729,8.189707575609604e-05
23,0.3379552364349365,0.0008200804392496744,0.7733768885259289,0.7716438854067857,0.01,"(7,)",15,"{'NN__alpha': 0.01, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (7,)}",70,0.7833537331701347,0.7833946078431373,0.78125,0.7798530312308635,0.7555147058823529,0.7516840171463564,0.014936464056011041,1.1022974452600878e-05,0.012655783643674322,0.014187622468321288
24,0.07970889409383138,0.0006964206695556641,0.21641486320947326,0.21641483956309612,0.01,"(15,)",2,"{'NN__alpha': 0.01, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (15,)}",77,0.21664626682986537,0.21629901960784315,0.21629901960784315,0.2164727495407226,0.21629901960784315,0.2164727495407226,0.004020100220886377,4.21131175342934e-06,0.00016372730015629905,8.189707575609604e-05
25,0.16956830024719238,0.000736395517985026,0.7835851367905268,0.7835851604369038,0.01,"(15,)",5,"{'NN__alpha': 0.01, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (15,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.017158927917826763,1.1938929213341981e-05,0.0001637273001562729,8.189707575609604e-05
26,0.256350040435791,0.0008068879445393881,0.7886892609228257,0.7841975303083061,0.01,"(15,)",10,"{'NN__alpha': 0.01, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (15,)}",4,0.7833537331701347,0.7837009803921569,0.7990196078431373,0.7853643600734844,0.7837009803921569,0.7835272504592774,0.014025330264711549,2.5803847480439602e-05,0.007303797626060806,0.000828116053893386
27,0.33455952008565265,0.0009609063466389974,0.7819518170681911,0.7857299558933596,0.01,"(15,)",15,"{'NN__alpha': 0.01, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (15,)}",58,0.7802937576499388,0.7910539215686274,0.7837009803921569,0.7835272504592774,0.7818627450980392,0.782608695652174,0.015248153528116547,1.3724205855458518e-05,0.0013925587670572876,0.0037832431957238073
28,0.09528795878092448,0.0008453528086344401,0.7835851367905268,0.7835851604369038,0.01,"(31,)",2,"{'NN__alpha': 0.01, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (31,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.0044154996075899035,0.00010755300260822702,0.0001637273001562729,8.189707575609604e-05
29,0.17511439323425293,0.0008576711018880209,0.782564311964067,0.7841975303083063,0.01,"(31,)",5,"{'NN__alpha': 0.01, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (31,)}",52,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7806372549019608,0.7853643600734844,0.018261765877849664,2.013880526834788e-05,0.0013695759545525681,0.000828116053893386
30,0.2695004145304362,0.0009615421295166016,0.7835851367905268,0.7834830987916702,0.01,"(31,)",10,"{'NN__alpha': 0.01, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (31,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7832210655235763,0.7837009803921569,0.7835272504592774,0.019026573509651354,2.0575951586142937e-05,0.0001637273001562729,0.0001983962324668314
31,0.32296021779378253,0.0009884039560953777,0.7835851367905268,0.7835851604369038,0.01,"(31,)",15,"{'NN__alpha': 0.01, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (31,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.011256357134747257,7.525202791700882e-06,0.0001637273001562729,8.189707575609604e-05
32,0.08915003140767415,0.0010026295979817708,0.7835851367905268,0.7835851604369038,0.01,"(62,)",2,"{'NN__alpha': 0.01, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (62,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.0028508981282052395,6.748280073376517e-05,0.0001637273001562729,8.189707575609604e-05
33,0.18154366811116537,0.0010739962259928386,0.7835851367905268,0.7835851604369038,0.01,"(62,)",5,"{'NN__alpha': 0.01, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (62,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.017305355092259507,1.9020098567069526e-05,0.0001637273001562729,8.189707575609604e-05
34,0.28987590471903485,0.0010933876037597656,0.7862392813393222,0.7923632123802777,0.01,"(62,)",10,"{'NN__alpha': 0.01, 'km__n_clusters': 10, 'NN__hidden_layer_sizes': (62,)}",11,0.7870257037943696,0.7873774509803921,0.7910539215686274,0.79210042865891,0.7806372549019608,0.7976117575015309,0.02434835723394082,6.5756287871798206e-06,0.004287973344051571,0.004182268041411485
35,0.3606463273366292,0.0012040138244628906,0.7766435279706002,0.7966516150755055,0.01,"(62,)",15,"{'NN__alpha': 0.01, 'km__n_clusters': 15, 'NN__hidden_layer_sizes': (62,)}",66,0.7906976744186046,0.7962622549019608,0.7910539215686274,0.7896509491733007,0.7481617647058824,0.8040416411512553,0.032265852993090954,3.8305093959521234e-05,0.02013400593799257,0.005881423008629175
36,0.0965283711751302,0.0013216336568196614,0.7835851367905268,0.7835851604369038,0.01,"(124,)",2,"{'NN__alpha': 0.01, 'km__n_clusters': 2, 'NN__hidden_layer_sizes': (124,)}",17,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.7837009803921569,0.7835272504592774,0.004015352675232409,8.94696404524326e-06,0.0001637273001562729,8.189707575609604e-05
37,0.20580267906188965,0.0013892650604248047,0.7799101674152715,0.784605776889241,0.01,"(124,)",5,"{'NN__alpha': 0.01, 'km__n_clusters': 5, 'NN__hidden_layer_sizes': (124,)}",60,0.7833537331701347,0.7837009803921569,0.7837009803921569,0.7835272504592774,0.772671568627451,0.786589099816289,0.04480335567889903,5.199602569290994e-05,0.005118858642852571,0.0014042133971515856
